#s	hn	av	tn	taivutus
menetys			39	
menevä			10	
menijä			12	
menkat		A	9	
menkut		A	1	
menneenkesäinen				
menneenvuotinen				
menneisyys			40	
mennessä			99	
menninkäinen			38	
mennyt			47	
mennä			67	
meno			1	
menoarvio				
menoerä				
menoliikenne				
menolippu				
menomatka				
meno-paluulippu				
menopaussi			5	
menopuoli				
menopäällä				
menosuunta				
menota			74	
menotili				
menotosite				
menotuuli				
menovesi				
mensikset			39	
menstruaatio			3	
menstruoida			62	
mensut			1	
mentaalihygieeninen				
mentaalihygienia				
mentaalinen			38	
mentaalisesti			99	
mentalismi			5	
mentaliteetti		C	5	
mentoli			5	
mentolipastilli				
mentori			6	
mentorointi		J	5	
menu			21	
menuetti		C	5	
menyy			20	
merellinen			38	
merellisyys			40	
merenalainen				
merenjumala				
merenkulkija				
merenkulku				
merenkulkuala				
merenkulkulippu				
merenkulkumaksu				
merenkulkuneuvos				
merenkulkuoppilaitos				
merenkulkusäännöt				
merenkulkutaito				
merenkyntäjä				
merenkävijä				
merenkäynti				
merenlahti		F	7	
merenmittaus				
merenneito				
merenpinta				
merenpohja				
merenrannikko				
merenranta				
merenrantakasvi				
merenrantakaupunki				
merenrantaniitty				
merensaari				
merenselkä				
merensininen				
merensuojelu				
merentakainen				
merentuoksu				
merentutkimus				
merentutkimusalus				
merenulappa				
merenvaha				
merenvahapiippu				
merenvihreä				
meri			24	
meriahven				
merialue				
merialus				
meriantura				
meriarkeologia				
meribiologia				
meridiaani			5	
merieläin				
merielämä				
meriensuojelu				
merihanhi				
meriharakka				
merihauki				
merihenkinen				
meriherruus				
merihevonen				
merihiekka				
merihirviö				
merihätä				
meri-ilma				
meri-ilmasto				
meriitti		C	5	
merijalkaväki				
merikaali				
merikaapeli				
merikadetti				
merikaisla				
merikalastus				
merikapteeni				
merikapteeninkirja				
merikarhu				
merikartta				
merikasvi				
merikasvisto				
merikelpoinen				
merikelpoisuus				
merikerrostuma				
merikipeä				
merikortti				
merikotka				
merikuljetus				
merikäärme				
merileijona				
merilevä				
meriliikenne				
merilintu				
merilohi				
merilokki				
meriläinen			38	
meriläismallinen				
merimaali			5	
merimahti				
merimaisema				
merimatka				
merimerkki				
merimies				
merimieskapakka				
merimieskaulus				
merimieskirkko				
merimieslaulu				
merimieslähetys				
merimiespappi				
merimiespihvi				
merimiespuku				
merimiessolmu				
merimiessäkki				
merimiestapa				
merimiina				
merino			2	
merinolammas				
merinolanka				
merinovilla			9	
merioikeudellinen				
merioikeus				
merionnettomuus				
meripalvelus				
meripelastus				
meripelastusalus				
meripelastushelikopteri				
meripeninkulma				
meripeto				
meripihka				
meripoika				
meripuolustus				
meripyynti				
meriraja			9	
merirosvo				
merirosvolaiva				
merirosvolippu				
merirosvoradio				
merirosvous			39	
merisaarto				
merisairas				
merisairaus				
merisavu				
meriselitys				
merisodankäynti				
merisota				
merisotilaallinen				
merisotilaallisesti				
merisotilas				
meristrategia				
merisumu				
merisuola				
merisää				
meritaimen				
meritaistelu				
meriteitse				
meritekniikka				
meritekninen				
meritie				
meritiede				
meritieteellinen				
meritoitua		F	52	
meritokraatti		C	5	
meritokraattinen			38	
meritokratia			12	
meritse			99	
meriturma				
meriturvallisuus				
merituuli				
meritähti				
meriupseeri				
merivahinko				
merivakuutus				
merivakuutusyhtiö				
merivalta				
merivaltio				
merivalvonta				
merivartija				
merivartio				
merivartioalus				
merivartioasema				
merivartiointi				
merivartiosto				
merivartiovene				
merivene				
merivesi				
meriviitta		C	9	
merivirta				
merivoimat				
merivuokko				
meriväki				
meriyhteys				
merkantiilijärjestelmä				
merkantiilinen			38	
merkantilismi			5	
merkantilisti			5	
merkantilistinen			38	
merkantti		C	5	
merkaptaani			5	
merkata		A	73	
merkeli			6	
merkelikivi				
merkillepano				
merkille pantava				
merkillinen			38	
merkillisesti			99	
merkillisyys			40	
merkinanto				
merkinantojärjestelmä				
merkinantolaite				
merkinantolippu				
merkintä		J	9	
merkintähinta				
-merkintäinen			38	
merkintäoikeus				
merkintätapa				
merkintö		J	1	
merkistö			1	
merkitsevyys			40	
merkitsevyystaso				
merkitsevä			10	
merkitsevästi			99	
merkitsijä			12	
merkittävyys			40	
merkittävä			10	
merkittävästi			99	
merkittää		C	53	
merkityksekäs		A	41	
merkityksellinen			38	
merkityksetön		C	34	
-merkityksinen			38	
-merkityksisyys			40	
merkitys			39	
merkityslaina				
merkitysopillinen				
merkitysoppi				
merkitysvivahde				
merkityttää		C	53	
merkitä			69	
merkitön		C	34	
merkkaus			39	
merkkauslanka				
merkki		A	5	
merkkiaine				
merkkifarkut				
merkkihenkilö				
merkkihuolto				
merkkijärjestelmä				
merkkikieli				
merkkikorjaamo				
merkkimies				
merkkinen			38	
merkkioppi				
merkkipaalu				
merkkipeli				
merkkipäivä				
merkkisuoritus				
merkkitapahtuma				
merkkitapaus				
merkkitavara				
merkkiteos				
merkkitietoinen				
merkkituli				
merkkituote				
merkkiuskollinen				
merkkiuskollisuus				
merkkivaate				
merkkivalo				
merkkiviiva				
merkkivuosi				
merkkiääni				
merkonomi			5	
merseroida			62	
merserointi		J	5	
merta		K	9	
mesenaatti		C	5	
mesi			27	
mesiangervo				
mesikaste				
mesikkä		A	14	
mesikämmen				
mesimarja				
mesimarjalikööri				
mesipistiäinen				
mesisieni				
mesivadelma				
mesiäinen			38	
meskaliini			5	
mesoa			52	
mesoni			5	
mesota			74	
mesotsooinen			38	
messi			5	
messiaaninen			38	
messianismi			5	
messias			41	
messiasusko				
messikalle				
messingöidä			62	
messingöinti		J	5	
messinki		G	5	
messinkijuote				
messinkilevy				
messinkinen			38	
messinkipuhallin				
messinkiruuvi				
messipoika				
messityttö				
messu			1	
messuemäntä				
messuhalli			5	
messukasukka				
messuosasto				
messut				
messuta			74	
messutavara				
messu-uhri				
messuvieras				
mesta			9	
mestaaja			10	
mestari			6	
mestariampuja				
mestariehdokas				
mestarijoukkue				
mestarikertoja				
mestarikokki		A	5	
mestarillinen			38	
mestarillisesti			99	
mestarillisuus			40	
mestariluokka				
mestariluomus				
mestarinkirja				
mestarintitteli				
mestarinäyte				
mestarismies				
mestarisuoritus				
mestarisävellys				
mestariteos				
mestariurheilija				
mestarius			40	
mestaroida			62	
mestaroija			10	
mestarointi		J	5	
mestaruus			40	
mestaruuskilpailu				
mestaruuskisa				
mestaruusmitali				
mestaruusottelu				
mestaruussarja				
mestaruusturnaus				
mestata			73	
mestaus			39	
mestauskirves				
mestauslava				
mestauspölkky				
mestauttaa		C	53	
mestitsi			5	
mesu			1	
metaani			5	
metaanikaasu				
metabolia			12	
metabolinen			38	
metadoni			5	
metafora			10	
metaforinen			38	
metaforisesti			99	
metafysiikka				
metafyysikko				
metafyysinen				
metakieli				
metakka		A	14	
metalli			5	
metalliala				
metalliarvo				
metalliastia				
metalliesine				
metallifolio				
metalliharkko				
metallihiukkanen				
metallihohde				
metallihohto				
metallijauhe				
metallikalvo				
metallikangas		G	41	
metallikappale				
metallikiilto				
metallikiiltoinen				
metallikoru				
metallikudos				
metallikuitu				
metallilakka		A	9	
metallilanka				
metallilastu				
metalliletku				
metallilevy				
metallimainen			38	
metallimies				
metallinen			38	
metallinhohde				
metallinhohteinen				
metallinhohto				
metallinhohtoinen				
metallinhohtoväri				
metallinilmaisin				
metallinjalostus				
metallinkaikuinen				
metallinkiilto				
metallinkiiltoinen				
metallinkiiltävä				
metallinkova				
metallinpakotus				
metallinpaljastaja				
metallinpaljastin				
metallinruiskutus				
metallinsointinen				
metallinsulatus				
metallintyöstö				
metallintyöstökone				
metallinvalu				
metallinvärjäys				
metallioppi				
metallipinta				
metallipitoinen				
metallipitoisuus				
metallipora				
metalliputki				
metallipäällyste				
metallipäällysteinen				
metalliraha				
metallirikas				
metalliseos				
metallisoida			62	
metallisulatto				
metallisuola				
metalliteollisuus				
metallituote				
metallityöläinen				
metallityöntekijä				
metallivalimo				
metallivalos				
metalliverkko				
metalliväri				
metalloida			62	
metallointi		J	5	
metallurgi			5	
metallurgia			12	
metallurginen			38	
metamorfoosi			5	
metanoli			5	
metastaasi			5	
metastaattinen			38	
metastasoida			62	
metastasointi		J	5	
meteli			6	
metelivesi				
metelöidä			68	
metelöijä			10	
metelöinti		J	5	
metelöitsijä			12	
meteori			5	
meteoriitti		C	5	
meteoroidi			5	
meteorologi			5	
meteorologia			12	
meteorologinen			38	
metinen			38	
metka			9	
metkasti			99	
metku			1	
metkuilla			67	
metkuilu			2	
metodi			5	
metodiikka		A	9	
metodinen			38	
metodioppi				
metodisesti			99	
metodismi			5	
metodisti			5	
metodistikirkko				
metodistinen			38	
metodologia			12	
metodologinen			38	
metreittäin			99	
metri			5	
-metri			5	
metriikka		A	14	
metrijärjestelmä				
metriluku				
metrimitta				
metrinen			38	
metrinmitta				
metritavara				
metro			1	
metroasema				
metrojuna				
metroliikenne				
metrologia			12	
metrologinen			38	
metronomi			5	
metropoli			5	
metropoliitta		C	9	
metrorata				
metrotunneli				
metrovaunu				
metsikkö		A	4	
metsittyä		C	52	
metsittää		C	53	
metsitys			39	
metso			1	
metsokukko				
metsuri			6	
metsä			10	
metsäajo				
metsäala				
metsäalue				
metsäautotie				
metsäbiologia				
metsäekologia				
metsäekonomia				
Metsähallitus				
metsähanhi				
metsähiiri				
metsäimarre				
metsäinen			38	
metsäisyys			40	
metsäjasmiini				
metsäjänis				
metsäkaarti				
metsäkaartilainen				
metsäkaartilaisuus			40	
metsäkana				
metsäkastikka				
metsäkasvi				
metsäkauppa				
metsäkauris				
metsäkeskus				
metsäkone				
metsäkoneasentaja				
metsäkoneenkuljettaja				
metsäkukka				
metsäkuolema				
metsäkämppä				
metsäköynnös				
metsälampi				
metsälauha			9	
metsälehmus				
metsälintu				
metsäluonto				
metsäläinen			38	
metsälö			2	
metsämaa				
metsämaasto				
metsämaisema				
metsämarja				
metsämies				
metsämänty				
metsämökki				
metsänajo				
metsänarvioiminen			38	
metsänarviointi				
metsäneläin				
metsänemä				
metsäneuvos				
metsänhakkaus				
metsänhakkuu				
metsänhakkuuoikeus				
metsänhaltija				
metsänhoidollinen				
metsänhoidollisesti			99	
metsänhoitaja				
metsänhoito				
metsänhoitoyhdistys				
metsäniitty				
metsänistutus				
metsänjalostus				
metsänkasvatus				
metsänkävijä				
metsänlannoitus				
metsänleimaus			39	
metsänmyynti				
metsänneito				
metsänomistaja				
metsänomistus				
metsänparannus				
metsänpeikko				
metsänraja			9	
metsänreuna				
metsänriista				
metsänsuojelu				
metsäntutkimus				
metsänuudistus				
metsänviljely				
metsäoja				
metsäojitus				
metsäopetus				
metsäoppilaitos				
metsäpalo				
metsäpalovaroitus				
metsäpalsta				
metsäpeitteinen				
metsäpolitiikka				
metsäpolku				
metsäpuu				
metsäraja			9	
metsärikas				
metsäruusu				
metsäsaareke				
metsäsika				
metsästellä			67	
metsästys			39	
metsästysase				
metsästyshaukka				
metsästyskausi				
metsästyskivääri				
metsästyskoira				
metsästyskortti				
metsästyslippu				
metsästysmaa				
metsästysoikeus				
metsästysonni				
metsästysseurue				
metsästäjä			10	
metsästäjäkansa				
metsästäjänleike				
metsästäjänpihvi				
metsästäjäntutkinto				
metsästää			53	
metsäsuomalainen				
metsätaival				
metsätaloudellinen				
metsätalous				
metsätalousinsinööri				
metsätalousministeriö				
metsätalousteknikko				
metsätaloustiede				
metsäteknikko				
metsäteknologia				
metsäteollisuus				
metsätie				
metsätiede				
metsätieteellinen				
metsätieteilijä				
metsätila				
metsätraktori				
metsätuho				
metsätulot				
metsätyyppi				
metsätyö				
metsätyökone				
metsätyömaa				
metsätyönjohtaja				
metsätähti				
metsävaahtera				
metsävarat				
metsäyhtiö				
metsäympäristö				
metsä-äes				
mettinen			38	
metvursti			5	
metyylialkoholi				
metyylielohopea				
meuhkata			73	
mezzoforte			8	h
mezzopiano			1	h
mezzosopraano				
mezzotinto			1	
mi			99	
miau			99	
midi	1		5	
midi	2		5	
midihame				
midiliitäntä				
midimuoti				
midipituinen				
miedonnos			39	
miedonnus			39	
miedontaa		J	54	
miedontua		J	52	
miedosti			99	
miehekkyys			40	
miehekkäästi			99	
miehekäs		A	41	
miehelässä			99	
miehelään			99	
miehenalku				
miehenkipeä				
miehenkorkuinen				
miehenmitta				
miehennielijä			12	
miehennimi				
miehenotto				
miehenpuoli				
miehevyys			40	
miehevä			10	
miehevästi			99	
mieheys			40	
miehinen			38	
miehistyä			52	
miehistö			2	
miehistötappio				
miehisyys			40	
miehittyä		C	52	
miehittäjä			10	
miehittämätön		C	34	
miehittää		C	53	
miehitys			39	
miehitysarmeija				
miehitysjoukko				
miehitysvyöhyke				
miehusta			13	
miehuullinen			38	
miehuullisesti			99	
miehuullisuus			40	
miehuus			40	
miehuusikä				
miehuuskoe				
miehyys			40	
miekanhuotra				
miekanisku				
miekanmittely				
miekanmittelö				
miekannielijä			12	
miekanpisto				
miekka		A	9	
miekkailija			12	
miekkailla			67	
miekkailu			2	
miekkailuottelu				
miekkakala				
miekkalilja				
miekkalähetys				
miekkapyrstö				
miekkavalas				
miekkonen			38	
mieleen			99	
mieleenjohtuma			10	
mieleenpainuva			10	
mieleinen			38	
mielekkyys			40	
mielekkäästi			99	
mielekäs		A	41	
mielellään			99	
mielenhäiriö				
mielenilmaisu				
mielenilmaus				
mielenkiinnoton		C	34	
mielenkiinnottomasti			99	
mielenkiinto		J	1	
mielenkiintoinen			38	
mielenkiintoisesti			99	
mielenkiintoisuus			40	
mielenkuohu				
mielenlaatu				
mielenliike				
mielenliikutus				
mielenlujuus				
mielenmaltti				
mielenmuutos				
mielenosoittaja				
mielenosoituksellinen			38	
mielenosoituksellisesti			99	
mielenosoitus				
mielenosoituskulkue				
mielenosoituslakko				
mielenosoitusmarssi				
mielenpurkaus				
mielenrauha				
mielenterveydellinen				
mielenterveydellisesti			99	
mielenterveys				
mielenterveyshoitaja				
mielenterveyshäiriö				
mielenterveysongelma				
mielenterveystoimisto				
mielenterveystyö				
mielentila				
mielentilatutkimus				
mielentyyneys				
mielenvikainen				
mielenvikaisuus				
mielenvire				
mielenvirkistys				
mielenylennys				
mielestä			99	
mielettömyys			40	
mielettömästi			99	
mieletön		C	34	
mielevä			10	
mielevästi			99	
mieli			26	
mieli-				
mieliaihe				
mieliala				
mielialahäiriö				
mielihalu				
mieliharmi				
mieliharrastus				
mielihyvin				
mielihyvä				
mielihyväperiaate				
mieliinpainuva			10	
mielijohde				
mielikirja				
mielikirjailija				
mielikseen			99	
mieliksi			99	
mielikuva				
mielikuvamaailma				
mielikuvamainonta				
mielikuvituksekas		A	41	
mielikuvituksekkaasti			99	
mielikuvituksellinen			38	
mielikuvituksellisuus			40	
mielikuvitus				
mielikuvitusmaailma				
-mielinen			38	
mielin kielin			99	
mielin määrin			99	
mielipaha				
mielipide		F	48	
mielipide-ero				
mielipideilmasto				
mielipidejohtaja				
mielipidekirja				
mielipidekirjoitus				
mielipidelehti				
mielipidemittaus				
mielipideosasto				
mielipidesivu				
mielipidesuunta				
mielipidetiedustelu				
mielipidetutkimus				
mielipidevanki				
mielipiteenilmaus				
mielipiteenmuodostus				
mielipiteenvapaus				
mielipuoli				
mielipuolinen				
mielipuolisesti			99	
mielipuolisuus			40	
mieliruoka				
mielisairaala				
mielisairaalahoito				
mielisairaanhoitaja				
mielisairaanhoito				
mielisairas				
mielisairaus				
-mielisesti			99	
mielissään			99	
mielistelijä			12	
mielistellä			67	
mielistely			2	
mielistyä			52	
mielisuosio				
-mielisyys			40	
mielitauti				
mielitautinen				
mieliteko				
mielitellä		C	67	
mielitietty				
mielityö				
mielivalta				
mielivaltainen				
mielivaltaisesti			99	
mielivaltaisuus				
mieliä			61	
mielle		I	48	
miellesisältö				
mielleyhtymä				
miellyttävyys			40	
miellyttävä			10	
miellyttäväkäytöksinen				
miellyttävästi			99	
miellyttävä-ääninen				
miellyttää		C	53	
mieltymys			39	
mieltyä		I	52	
mieltää		I	54	
mieluimmin			99	
mieluinen			38	
mieluisa			10	
mieluisasti			99	
mieluisesti			99	
mieluisuus			40	
mieluiten			99	
mieluummin			99	
mieluusti			99	
miero			1	
mierolainen			38	
mies			42	
mieshenkilö				
mieshukka				
miesihanne				
miesjoukko				
miesjoukkue				
mieskiintiö				
mieskohtainen				
mieskohtaisesti			99	
mieskunto				
mieskuntoinen				
mieskuntoisuus				
mieskuoro				
mieskuorolaulu				
mieskuva				
mieskvartetti				
miesleski				
miesluku				
mieslukuinen				
mieslukuisesti			99	
miesmuistiin			99	
miesmurha				
miesmäinen			38	
miesmäisesti			99	
miesmäisyys			40	
miesnäkökulma				
miesopettaja				
miesopiskelija				
miespaikka				
miespalvelija				
miespappi				
miesparka		D	9	
miespolvi				
miespuolinen				
miesraukka				
miesseura				
miessuhde				
miessuku				
miessukupuoli				
miestappio				
miestappo				
miestenhuone				
miestenlehti				
miestennielijä			12	
miestenosasto				
miestenpyörä				
miestentauti				
miestentautioppi				
miestoveri				
miestutkimus				
miestuttava				
miestyöpäivä				
miestyövoima				
miestyövuosi				
miesvahvuus				
miesvaltainen				
miesvaltaisuus				
miesvanki				
miesvartiointi				
miesvieras				
miesviha				
miesvoima				
miesvoittoinen				
miesväestö				
miesväki				
miesylivoima				
miesystävä				
miesääni				
miete		C	48	
mietekirja				
mietekokoelma				
mietelause				
mietelmä			10	
mietelyriikka				
mieteruno				
mieterunous				
mietintä		J	9	
mietintäaika		D	9	
mietintämyssy				
mietintö		J	1	
mietiskelijä			12	
mietiskellä			67	
mietiskely			2	
mietityttää		C	53	
mieto		F	1	
mietous			40	
-mietteinen			38	
mietteliäisyys			40	
mietteliäs			41	
mietteliäästi			99	
miettimisaika		D	9	
miettiväinen			38	
miettiväisesti			99	
miettiä		C	61	
migmatiitti		C	5	
migraatio			3	
migreeni			5	
mihin			99	
mihinkin			99	
mihinkä			99	
mihinkään			99	
mihinpäin				
miikka		A	9	
miilu			1	
miilunpolttaja				
miilunpoltto				
miimikko		A	4	
miiminen			38	
miimisesti			99	
miina			9	
miinaaja			10	
miinaharava				
miinakenttä				
miinalaiva				
miinanlasku				
miinanraivaaja				
miinanraivaus				
miinata			73	
miinoite		C	48	
miinoittaa		C	53	
miinoitus			39	
miinus			39	
miinusaste				
miinuslasit				
miinusmerkki				
miinusmerkkinen				
miinusnapa				
miinuspiste				
miinuspuoli				
miinustaa			53	
miitinki		G	5	
mikin			101	
mikkeli			6	
mikkelinpäivä				
mikki		A	5	
-mikko		A	1	
mikro			1	
mikro-				
mikroaallot				
mikroaaltouuni				
mikroampeeri				
mikroanalyysi				
mikroauto				
mikrobi			5	
mikrobilääke				
mikrobiologi				
mikrobiologia				
mikroelektroniikka				
mikrofilmata				
mikrofilmaus				
mikrofilmi				
mikrofoni			5	
mikrogramma				
mikrohistoria				
mikroilmasto				
mikrokemia				
mikrokemiallinen				
mikrokirurgia				
mikrokortti				
mikrokosmos				
mikrokuitu				
mikrokuitukangas		G	41	
mikrometri				
mikroni			5	
mikro-organismi				
mikropiiri				
mikroprosessori				
mikroravinne				
mikroruoka				
mikrosekunti				
mikrosiru				
mikroskooppi		B	5	
mikroskooppinen			38	
mikroskooppisesti			99	
mikroskooppitutkimus				
mikroskopia			12	
mikroskopoida			62	
mikroskopointi		J	5	
mikrosortsit				
mikrostruktuuri				
mikrosuoritin				
mikrotaloustiede				
mikrotekniikka				
mikrotekninen				
mikrotietokone				
mikrotomi			5	
mikrouuni				
mikrovaaka				
mikrovalokuva				
mikrovalokuvaus				
miksaaja			10	
miksata			73	
miksaus			39	
mikseri			6	
miksi			99	
mikstuura			13	
mikä			101	
mikäkin			99	
mikäli			99	
mikään			101	
miliisi			5	
miliisijärjestelmä				
militaarinen			38	
militantti		C	5	
militarismi			5	
militarisoida			62	
militaristi			5	
militaristinen			38	
militääri			5	
militäärinen			38	
miljardi			5	
miljardööri			5	
miljonääri			5	
miljoona			10	
miljoonainen			38	
miljoonakala				
miljoonakauppa				
miljoonakaupunki				
miljoonakertainen				
miljoonalahjoitus				
miljoonaomaisuus				
miljoonapainos				
miljoonapalo				
miljoonas			45	
miljoonasosa				
miljoonatalo				
miljoonavahinko				
miljoonikko		A	1	
miljoonittain			99	
miljöö			20	
miljöökuvaus				
milk shake			8	
millainen			38	
milli			5	
milliampeeri				
millibaari			5	
milligramma				
millilitra				
millimetri				
millimetriasteikko				
millimetrimitta				
millimetripaperi				
millinen			38	
millisekunti				
millivoltti		C	5	
milloin			99	
milloinka			99	
milloinkaan			99	
milloinkin			99	
millänsäkään			99	
millään			99	
milläänkään			99	
miltei			99	
mimiikka		A	14	
mimmi			5	
mimmiliiga				
mimmoinen			38	
mimoosa			11	
mimoosamainen			38	
minareetti		C	5	
minariini			5	
mineraali			5	
mineraaliesiintymä				
mineraalikuitu				
mineraalimaa				
mineraalinen			38	
mineraalipitoinen				
mineraalipitoisuus				
mineraalistua			52	
mineraalisuola				
mineraalitärpätti				
mineraalivesi				
mineraalivilla			9	
mineralisoitua		F	52	
mineralogi			5	
mineralogia			12	
mineraloginen			38	
minestrone			8	
minestronekeitto				
mini			5	
mini-				
miniatyristi			5	
miniatyyri			5	
miniatyyrikoko		D	1	
miniatyyrikokoinen				
miniatyyrikuva				
miniatyyrimaalari			6	
miniatyyrimaalaus			39	
miniatyyrimuotokuva				
miniatyyripatsas				
miniatyyritaide				
minibaari			5	
minicross			5	
minigolf				
minihame				
minikokoinen				
minikoripallo				
minimaalinen			38	
minimalismi			5	
minimalisti			5	
minimalistinen			38	
minimi			5	
minimi-				
minimiaika		D	9	
minimiarvo				
minimiehto				
minimikoko		D	1	
minimikorkeus				
minimimäärä				
miniminopeus				
minimipalkka				
minimivaatimus				
minimoida			62	
minimointi		J	5	
minimuoti				
minipilleri				
minipituinen				
ministeri			6	
ministerikausi				
ministerikierros				
ministerikokous				
ministerilista				
ministerineuvos				
ministerineuvosto				
ministerinleike				
ministerinpaikka				
ministerinsalkku				
ministerinvaihdos				
ministerinvirka				
ministeristö			1	
ministerivaliokunta				
ministerivierailu				
ministeriys			40	
ministeriö			3	
minisukellusvene				
miniä			12	
minkinikäinen				
minkinlainen			38	
minkinnahka				
minkinrehu				
minkki		A	5	
minkkihattu				
minkkitarha				
minkkitarhaaja				
minkkiturkki		A	5	
minkähintainen				
minkäikäinen				
minkäkokoinen				
minkälainen			38	
minkämaalainen				
minkämerkkinen				
minkä takia			99	
minkä tähden			99	
minkä vuoksi			99	
minkävärinen				
minkäänarvoinen				
minkäänlainen			38	
minkäännäköinen				
minne			99	
minnekin			99	
minnekä			99	
minnekään			99	
minnelaulaja				
minnelaulu				
minnepäin				
minoriteetti		C	5	
minttu		C	1	
minttujäätelö				
minttulikööri				
minttupastilli				
minttutee				
minunlaiseni			38	
minuus			40	
minuuteittain			99	
minuutti		C	5	
-minuuttinen			38	
minuuttiosoitin				
minuuttiviisari				
minä			101	
minäkeskeinen				
minäkeskeisyys				
minäkuva				
minäkäsitys				
minämuoto				
minämuotoinen				
minätietoisuus				
mirha			9	
mirhami			6	
mirri			5	
misogynia			12	
misogyyni			5	
misogyyninen			38	
mispeli			6	
miss			99	
missata			73	
misseys			40	
missi			5	
missikilpailu				
missikisa				
missio			3	
missivuosi				
missiys			40	
missä			101	
missäkin			101	
missäpäin				
missään			101	
misteli			6	
mistelinoksa				
mistä			99	
mistäkin			99	
mistäpäin				
mistään			99	
misu			1	
misääri			6	
mitali			6	
mitalimies				
mitalinainen				
mitalinsaaja				
mitalisaalis				
mitalisarja				
mitalisija				
mitalisti			5	
mitalitaide				
mitalitaiteilija				
mitalitili				
mitallinen			38	
mitanpitävyys				
mitanpitävä				
mitata		C	73	
mitella			13	
mitellä		C	67	
miten			99	
mitenkin			99	
mitenkuten				
mitenkä			99	
mitenkään			99	
miten päin			99	
mitoittaa		C	53	
mitoitus			39	
mitoosi			5	
mitoottinen			38	
mitra			9	
mitta		C	9	
mittaaja			10	
mittaamaton		C	34	
mittaamattomasti			99	
mittaamattomuus			40	
mitta-asteikko				
mitta-astia				
mittahävikki				
mittailla			67	
mittailu			2	
mittain			33	
mittainen			38	
mittajärjestelmä				
mittakaava				
-mittakaavainen			38	
mittakaulain				
mittakeppi				
mittalasi				
mittaluku				
mittalusikka				
mittamies				
mittanauha				
mittapuku				
mittapuu				
mittari			6	
mittariauto				
mittarilento		J	1	
mittarilukema				
mittarimato				
mittarinlukija				
mittariperhonen				
mittaristo			1	
mittaritaulu				
mittasakset				
mittasuhteet				
mittatappio				
mittatarkka				
mittatikku				
mittatilaustyö				
mittatyö				
mittaus			39	
mittauslaite				
mittausmenetelmä				
mittausoppi				
mittaustarkkuus				
mittaustekniikka				
mittausteknikko				
mittaustulos				
mittausvirhe				
mittausväline				
mittauttaa		C	53	
mittava			10	
mittavajaus				
mittavuus			40	
mittayksikkö				
mittely			2	
mittelö			2	
mitä			99	
mitättömyys			40	
mitätöidä			62	
mitätöinti		J	5	
mitätöityä		F	52	
mitätön		C	34	
mitätöntyä		J	52	
mitätöntää		J	54	
mitäänsanomaton				
moaree			20	
mobata			73	
mobbata			73	
mobbaus			39	
mobile			8	
mobilisaatio			3	
mobilisoida			62	
mobilisointi		J	5	
mobiliteetti		C	5	
modaali			5	
modaalikuitu				
modaalinen			38	
modeemi			5	
moderato			1	h
moderni			5	
modernismi			5	
modernisoida			62	
modernisointi		J	5	
modernisoitua		F	52	
modernistaa			53	
modernisti	1		5	
modernisti	2		99	
modernistinen			38	
modernistua			52	
modernius			40	
modifikaatio			3	
modifioida			62	
modifiointi		J	5	
modifioitua		F	52	
modisti			5	
modulaarinen			38	
modulaatio			3	
modulaattori			6	
moduloida			62	
modulointi		J	5	
moduloitua		F	52	
modus			39	
moduuli			6	
moduulimitoitus				
moduulirakenne				
moduulirakenteinen				
moduulirekka		A	9	
moguli			5	
mohair			5	
mohairlanka				
mohairpusero				
mohikaani			5	
moi			99	
moikaa			78	
moikata		A	73	
moike		A	48	
moikina			12	
moikua		D	52	
moinen			38	
moiré			21	
moisio			3	
moiskahdus			39	
moiskahtaa		F	53	
moiskaus			39	
moiskauttaa		C	53	
moite		C	48	
moiteaika		D	9	
moitekanne				
moitiskella			67	
moitiskelu			2	
moitittava			10	
moitittavasti			99	
moitittavuus			40	
moitteeton		C	34	
moitteettomasti			99	
moitteettomuus			40	
moittia		C	61	
moittija			12	
moittivasti			99	
mojahdus			39	
mojahtaa		F	53	
mojauttaa		C	53	
mojova			10	
moka			10	
mokata			73	
mokaus			39	
mokka	1	A	10	
mokka	2	A	10	
mokkaharja				
mokkainen			38	
mokkakahvi				
mokkakakku				
mokkakangas		G	41	
mokkakenkä				
mokkakuppi				
mokkalusikka				
mokkanahka				
mokkanahkainen				
mokkasiini			5	
mokkatakki				
mokkaturkis				
mokkaturkki		A	5	
mokoma			10	
moksahdus			39	
moksahtaa		F	53	
mokšan kieli				
moksaus			39	
moksauttaa		C	53	
moksiskaan			99	
molaalisuus			40	
molaarinen			38	
molaarisuus			40	
molari			6	
molekulaarinen			38	
molekylaarinen			38	
molekyyli			5	
molekyylibiologia				
molekyylikaava				
molekyylipaino				
molekyylirakenne				
molekyylivoima				
molemmat		H	16	
molemminpuolinen				
molemminpuolisesti			99	
molemminpuolisuus			40	
mollamaija				
mollata			73	
mollaus			39	
molli			5	
molliasteikko				
mollisointu				
mollottaa		C	53	
molottaa		C	53	
molotus			39	
molskahdella		F	67	
molskahdus			39	
molskahtaa		F	53	
molskaus			39	
molskauttaa		C	53	
molske			48	
molski			5	
molskia			61	
molskina			12	
molybdeeni			5	
momentaaninen			38	
momentti		C	5	
momenttiavain				
monarkia			12	
monarkismi			5	
monarkisti			5	
monarkistinen			38	
monarkki		A	5	
monarkkinen			38	
monasti			99	
monenarvoinen				
monenikäinen				
monenkaltainen				
